gamma_target,seed,n,R,gamma,bound,converged,sweeps,updates,within_bound,run_id,notebook,python,numpy,scipy,platform
0.2,9,60,1.7021386112622325,0.2221254515394091,58.72096707929886,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,10,60,1.6942874686483338,0.22583749988806792,56.283627838701356,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,11,60,1.6314774630192481,0.20197493371904354,65.24800076780987,True,2,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,12,60,1.6577608240065393,0.23343449957936227,50.432867479098135,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,13,60,1.6534420727197823,0.22209477979882553,55.42443401779443,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,14,60,1.6389667148653972,0.20746116599714165,62.41179001101727,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,15,60,1.6555171173458687,0.2009695400225181,67.85890916474138,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,16,60,1.6679993157548287,0.20496432883018498,66.22701285063877,True,2,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,17,60,1.5460026855384765,0.20055419551409695,59.42332989256684,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,18,60,1.6478025653675445,0.20049712653520818,67.54513027615975,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,19,60,1.6980713945590087,0.2120399338197081,64.13226404256059,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,0,60,1.7069508994268854,0.3124590542598867,29.843917427954484,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,1,60,1.4994590735378457,0.3350296397837883,20.031006520533193,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,2,60,1.615511112957353,0.30513150359640107,28.03146536785856,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,3,60,1.6504444329645875,0.3178044398269451,26.97005884051984,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,4,60,1.61735794099414,0.3018720836410107,28.70558391649959,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,5,60,1.665199826092646,0.31819840158405976,27.386512196620636,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,6,60,1.6188430737873685,0.3202329476997142,25.55509365849635,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
