gamma_target,seed,converged,got,best,ratio,run_id,notebook,python,numpy,scipy,platform
0.2,8,True,0.20105822968369308,0.24682184089130238,0.8145884860012729,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,9,True,0.23378673741505893,0.2630376619999887,0.8887956790578111,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,10,True,0.07361521764415363,0.2587833841259586,0.2844665544999698,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,11,True,0.17995950406601338,0.2619106344826169,0.6871026998254908,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,12,True,0.16926997544834155,0.25583613950040746,0.6616343405544234,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,13,True,0.1508836353825218,0.2687399474385601,0.561448481406052,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,14,True,0.16200159701703004,0.2856093471388732,0.5672139187316556,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,15,True,0.2987411945892807,0.3168896056637174,0.9427295476087793,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,16,True,0.1837389211143702,0.23899227760611777,0.7688069378425256,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,17,True,0.07815651493962311,0.22891860969053607,0.34141616990108015,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,18,True,0.18767417127024158,0.21031309801001669,0.8923560778953631,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,19,True,0.14197554555562913,0.21624736680569495,0.6565423091750228,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
