seed,eta,start,converged,sweeps,updates,run_id,notebook,python,numpy,scipy,platform
9,0.1,난수에서,True,2,21,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,1.0,영에서,True,2,8,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,1.0,난수에서,True,2,7,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,10.0,영에서,True,2,8,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,10.0,난수에서,True,3,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,0.01,영에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,0.01,난수에서,True,15,141,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,0.1,영에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,0.1,난수에서,True,3,16,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,1.0,영에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,1.0,난수에서,True,6,15,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,10.0,영에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,10.0,난수에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
11,0.01,영에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
