seed,hidden,converged,sweeps,E,max_sweeps,run_id,notebook,python,numpy,platform
87,2,True,6356,0.06492059702402253,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
88,2,True,1880,0.048182384553822157,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
89,2,False,20000,0.25021583615123993,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
90,2,True,2756,0.0645913783699486,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
91,2,True,2065,0.06031726199466099,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
92,2,False,20000,0.25019221233354305,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
93,2,True,2039,0.05857413967110607,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
94,2,True,1948,0.059159034310850095,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
95,2,True,2462,0.06069936162122393,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
96,2,True,7455,0.05691178302430631,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
97,2,True,1930,0.04839274189997181,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
98,2,True,2279,0.050178749247934265,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
99,2,True,2743,0.056993917344432245,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,4,True,1207,0.051017577333943964,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,4,True,1667,0.06127942001206861,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
